tag_id,stap_id,type,lat,lon,ind,j,interp,known
16IQ,18,simulation,24.875,0.875,13905,2,,FALSE
16IQ,18,simulation,24.125,-0.375,12988,3,,FALSE
16IQ,18,simulation,21.125,0.875,13920,4,,FALSE
16IQ,18,simulation,17.625,0.875,13934,5,,FALSE
16IQ,18,simulation,14.125,4.375,16524,6,,FALSE
16IQ,18,simulation,27.125,-1.875,11872,7,,FALSE
16IQ,18,simulation,14.375,1.125,14131,8,,FALSE
16IQ,18,simulation,23.125,-1.375,12256,9,,FALSE
16IQ,18,simulation,25.625,2.625,15190,10,,FALSE
16IQ,19,simulation,21.875,-0.625,12813,1,,FALSE
16IQ,19,simulation,16.625,-1.625,12098,2,,FALSE
16IQ,19,simulation,21.125,-0.875,12632,3,,FALSE
16IQ,19,simulation,17.125,-1.375,12280,4,,FALSE
16IQ,19,simulation,15.875,0.875,13941,5,,FALSE
16IQ,19,simulation,13.375,0.125,13399,6,,FALSE
16IQ,19,simulation,21.375,-1.125,12447,7,,FALSE
16IQ,19,simulation,21.125,-0.625,12816,8,,FALSE
16IQ,19,simulation,20.875,-2.125,11713,9,,FALSE
16IQ,19,simulation,20.875,-1.125,12449,10,,FALSE
16IQ,20,simulation,21.125,-1.125,12448,1,,FALSE
16IQ,20,simulation,16.375,-0.875,12651,2,,FALSE
16IQ,20,simulation,21.625,-0.125,13182,3,,FALSE
16IQ,20,simulation,16.375,-1.375,12283,4,,FALSE
16IQ,20,simulation,16.375,0.625,13755,5,,FALSE
16IQ,20,simulation,14.625,0.625,13762,6,,FALSE
16IQ,20,simulation,21.625,-0.125,13182,7,,FALSE
16IQ,20,simulation,21.875,-0.125,13181,8,,FALSE
16IQ,20,simulation,20.875,-0.875,12633,9,,FALSE
16IQ,20,simulation,21.125,-1.125,12448,10,,FALSE
16IQ,21,simulation,21.625,-0.375,12998,1,,FALSE
16IQ,21,simulation,16.625,-0.375,13018,2,,FALSE
16IQ,21,simulation,19.625,-1.125,12454,3,,FALSE
16IQ,21,simulation,14.875,-0.125,13209,4,,FALSE
16IQ,21,simulation,16.875,-0.125,13201,5,,FALSE
16IQ,21,simulation,15.875,-0.875,12653,6,,FALSE
16IQ,21,simulation,21.125,-1.375,12264,7,,FALSE
16IQ,21,simulation,20.625,-1.125,12450,8,,FALSE
16IQ,21,simulation,19.375,-1.125,12455,9,,FALSE
16IQ,21,simulation,19.875,-0.875,12637,10,,FALSE
16IT,1,simulation,46.54849,8.68682,19522,1,,TRUE
16IT,1,simulation,46.54849,8.68682,19522,2,,TRUE
16IT,1,simulation,46.54849,8.68682,19522,3,,TRUE
16IT,1,simulation,46.54849,8.68682,19522,4,,TRUE
16IT,1,simulation,46.54849,8.68682,19522,5,,TRUE
16IT,1,simulation,46.54849,8.68682,19522,6,,TRUE
16IT,1,simulation,46.54849,8.68682,19522,7,,TRUE
16IT,1,simulation,46.54849,8.68682,19522,8,,TRUE
16IT,1,simulation,46.54849,8.68682,19522,9,,TRUE
16IT,1,simulation,46.54849,8.68682,19522,10,,TRUE
16IT,2,simulation,46.125,7.875,18972,1,,FALSE
16IT,2,simulation,46.375,8.375,19339,2,,FALSE
16IT,2,simulation,46.375,8.375,19339,3,,FALSE
16IT,2,simulation,46.125,9.875,20444,4,,FALSE
16IT,2,simulation,45.625,7.625,18790,5,,FALSE
16IT,2,simulation,46.125,7.875,18972,6,,FALSE
16IT,2,simulation,45.875,7.875,18973,7,,FALSE
16IT,2,simulation,45.625,7.875,18974,8,,FALSE
16IT,2,simulation,45.875,7.625,18789,9,,FALSE
16IT,2,simulation,46.625,8.625,19522,10,,FALSE
16IT,3,simulation,45.625,11.625,21734,1,,FALSE
16IT,3,simulation,44.625,10.625,21002,2,,FALSE
16IT,3,simulation,44.875,7.875,18977,3,,FALSE
16IT,3,simulation,45.125,9.375,20080,4,,FALSE
16IT,3,simulation,45.375,10.125,20631,5,,FALSE
16IT,3,simulation,45.375,10.625,20999,6,,FALSE
16IT,3,simulation,45.375,10.125,20631,7,,FALSE
16IT,3,simulation,45.625,12.125,22102,8,,FALSE
16IT,3,simulation,44.875,8.125,19161,9,,FALSE
16IT,3,simulation,46.125,12.875,22652,10,,FALSE
16IT,4,simulation,45.625,11.125,21366,1,,FALSE
16IT,4,simulation,46.125,7.625,18788,2,,FALSE
16IT,4,simulation,46.375,9.625,20259,3,,FALSE
16IT,4,simulation,46.625,9.625,20258,4,,FALSE
16IT,4,simulation,46.625,9.375,20074,5,,FALSE
16IT,4,simulation,45.875,8.125,19157,6,,FALSE
16IT,4,simulation,44.375,7.375,18611,7,,FALSE
16IT,4,simulation,45.875,10.375,20813,8,,FALSE
16IT,4,simulation,47.625,11.375,21542,9,,FALSE
16IT,4,simulation,45.875,10.375,20813,10,,FALSE
16IT,5,simulation,44.125,10.125,20636,1,,FALSE
16IT,5,simulation,44.625,8.875,19714,2,,FALSE
16IT,5,simulation,44.625,8.875,19714,3,,FALSE
16IT,5,simulation,44.625,8.875,19714,4,,FALSE
16IT,5,simulation,44.625,8.875,19714,5,,FALSE
